DeliveryDate,HourEnding,CurrentDayForecast,DayAheadForecast,ActualLoad,DayAheadHSL,CurrentDayHSL,DSTFlag
6/1/2019,1,40517.391,41289.6359,40423.17,50218.3,49837.7,N
6/1/2019,2,38005.7821,38966.3854,38009.09,48841.7,49279.4,N
6/1/2019,3,36384.6067,37271.082,36252.61,47910.6,49312.7,N
6/1/2019,4,35089.7786,36120.8397,35201.89,47609.3,49059.4,N
6/1/2019,5,34669.2522,35508.4834,34733.64,46808.5,48346,N
6/1/2019,6,34747.5806,35544.5067,34751.55,46378.6,47145.4,N
6/1/2019,7,34799.9497,35564.011,35064.41,46539,46800.8,N
6/1/2019,8,36262.0537,36685.5283,36310.59,46317.8,47198.2,N
6/1/2019,9,39288.1595,39743.4449,39340.41,46788.3,48718,N
6/1/2019,10,42858.9903,43260.295,43163.69,49136.3,51221.5,N
6/1/2019,11,46831.8981,46808.3948,47127.89,51823,53004.3,N
6/1/2019,12,50625.0403,50149.8754,50872.54,53671.3,55592.5,N
6/1/2019,13,53802.6385,52792.486,53921.5,55903.6,58106,N
6/1/2019,14,56162.3822,54975.4977,56502.51,58092.1,59143.2,N
6/1/2019,15,58224.6952,56559.7988,58362.49,59263.8,59786.8,N
6/1/2019,16,59458.3802,57817.9495,59619.8,59961.8,60910.3,N
6/1/2019,17,60382.1425,58373.5504,60053.46,60555,61628.9,N
6/1/2019,18,59555.7722,58242.1703,59133.41,61292.4,63060.7,N
6/1/2019,19,57436.6469,56831.9219,56815.36,61136.2,64014.4,N
6/1/2019,20,54298.594,54763.6514,53944.06,59008.8,62704.3,N
6/1/2019,21,51975.0151,52852.3235,51855.97,57510.6,60765.1,N
6/1/2019,22,50329.1442,51585.3527,50105.91,56949.1,59038.8,N
6/1/2019,23,47335.6125,48742.2474,47351.94,56318.7,57993.2,N
6/1/2019,24,44472.9752,45620.197,44239.48,53310.6,55566.6,N
6/2/2019,1,41718.5942,43140.815,41342.09,53053.3,54695.2,N
6/2/2019,2,38975.7543,40553.1155,38920.53,50991.4,53969,N
6/2/2019,3,37210.4702,38716.976,37109,50510.9,52918.6,N
6/2/2019,4,35902.2163,37363.599,36100.92,50516,51803.3,N
6/2/2019,5,35560.8407,36590.2531,35440.83,49500.1,50468.3,N
6/2/2019,6,35163.5269,36248.6788,35194.31,48844.9,49877.6,N
6/2/2019,7,34838.2186,35885.3306,35130.86,48525.9,49467.4,N
6/2/2019,8,35948.5072,36785.4284,35859.98,48189.7,48063.9,N
6/2/2019,9,38429.5397,39679.3079,38138.34,48195.2,49627.1,N
6/2/2019,10,41241.0978,43189.5221,41128.62,49453,50450.2,N
6/2/2019,11,44179.8307,46696.0242,44243.7,52189,54176.8,N
6/2/2019,12,47339.3221,50146.8812,47389.52,55536.4,56267.7,N
6/2/2019,13,50153.189,53198.4237,50125.68,57982,57965.5,N
6/2/2019,14,52314.3053,55692.8655,52519.51,58972,59184.6,N
6/2/2019,15,54505.3818,57485.639,54866.69,60296.7,59532,N
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
d,,,,,,,
